Station Name: PHOENIX PARK,,,,,,,,
Station Height: 48 M ,,,,,,,,
Latitude:53.364  ,,,,,,,,
,,,,,,,,
,,,,,,,,
date:  -  00 to 00 utc,,,,,,,,
rain:  -  Precipitation Amount (mm),,,,,,,,
"maxtp: -  Maximum Air Temperature (C)	  ",,,,,,,,
mintp: -  Minimum  Air Temperature (C),,,,,,,,
gmin:  -  09utc Grass Minimum Temperature (C),,,,,,,,
soil:  -  Mean 10cm soil temperature (C),,,,,,,,
cbl:   -  Mean CBL Pressure (hpa),,,,,,,,
ind:   -  Indicator (i),,,,,,,,
,,,,,,,,
date,maxtp,mintp,igmin,gmin,rain,cbl,soil,Good weather
01-May-05,17,8.8,4, ,0.2,998.2,13.205,
02-May-05,16.5,10.8,0,7.3,2.7,998.1,13.255,
03-May-05,17,5.4,0,10.6,29.4,1006.3,13.983,
04-May-05,14.8,5.2,0,1.8,0,1017.7,13.017,
05-May-05, , ,0,6.8, , ,13.955,
06-May-05,14.5,6.6,4, ,1.9,1011.7,13.432,
07-May-05,14.2,4.8,0,3.1,0.4,1010.8,13.503,
08-May-05,13.2,3.2,0,-0.9,0,1012.2,12.36,
09-May-05,12,1.5,0,-2.7,0,1015.3,11.27,
10-May-05,12.8,-0.3, , ,0,1019.2,11.038,
12-May-05,13.6,2.3, , ,0,1017,12.205,
13-May-05,12.7,8.2, , ,0,1017.3,12.807,
14-May-05, , , , , , ,11.13,
19-May-05,17.7,11.7, , ,0.2,998.6,14.927,
20-May-05,16.6,8.3, , ,2,996.3,15.688,
22-May-05,13.5,5.2, , ,0.7,996.7,14.135,
23-May-05,13.9,4.9, , ,9.3,1001.2,13.637,
24-May-05,17.3,8.4, , ,11.1,1002.2,15.212,
25-May-05,17.8,10.3, , ,3.7,1005.5,15.312,
26-May-05,19.2,8.9, , ,0.3,1006.8,16.677,
27-May-05,14.2,10.5, , ,1.4,1002.6,15.88,
28-May-05,16,7.1, , ,0,1001.9,15.7,
30-May-05,14.1,6.7, , ,2.5,1017,15.028,
31-May-05,14.8,6.9, , ,2.4,1017.2,14.465,
01-Jan-06,8.2,2.9,0,-1.2,0,1002.8,4.408,
02-Jan-06,10.6,0.7,0,-5.4,0,1016.5,3.503,
03-Jan-06,10.9,0,0,-0.6,0.2,1020.5,5.42,
04-Jan-06,7.2,-1.6,0,-5.1,0,1022.5,2.936,
05-Jan-06,6.4,4.1,0,-3.5,0,1014.6,3.357,
06-Jan-06,5.1,1.1,0,0.9,0,1015.6,3.728,
07-Jan-06,4.7,1.7,0,-1.7,0,1017.9,3.462,
08-Jan-06,5.9,-2.7,0,0.1,1.3,1019.2,3.785,
09-Jan-06,10.5,-4.2,0,-8.3,0,1014.5,2.599,
10-Jan-06,12.9,8,0,-3.4,9.6,1002.3,6.024,
11-Jan-06,9,4.1,0,0.2,0.3,1007.6,5.175,
12-Jan-06,12.5,4.6,0,-2.6,0,1011.6,5.046,
13-Jan-06,12.3,7.9,0,7.3,0.2,1003.1,7.361,
14-Jan-06,8.5,0.4,0,-5.7,0,1006.7,5.028,
15-Jan-06,10.9,6.7,0,-4.7,0.2,999.3,5.547,
16-Jan-06,7.9,3.4,0,-0.4,1,996.4,5.249,
17-Jan-06,11.1,5.6,0,0.6,0.2,998.4,5.821,
18-Jan-06,11.9,10.1,0,2,0,1006.7,7.903,
19-Jan-06,11.9,10.4,0,8.5,0,1003.1,8.523,
20-Jan-06,11.5,3.4,0,-0.4,2.3,1007.3,6.504,
21-Jan-06,8.2,0.6,0,-2.8,0.1,1022.6,4.201,
22-Jan-06,9.3,0.4,0,-4.3,0,1026.9,3.735,
23-Jan-06,9,3.6,0,-1.9,0,1025.8,4.485,
24-Jan-06,7.4,1.9,0,-1.9,0,1023.7,5.057,
25-Jan-06,7.9,5.3,0,-1.6,0,1023.4,5.394,
26-Jan-06,6.5,5.2,0,3,0,1025.2,5.04,
27-Jan-06,5.8,2.9,0,2.6,0.3,1025.1,4.885,
28-Jan-06,8,-0.4,0,-0.5,1,1025.1,4.985,
29-Jan-06,7.8,-1.4,0,-6.4,0,1027.6,3.294,
30-Jan-06,6.5,-2.1,0,-8,0,1026.1,2.442,
31-Jan-06,5.9,-4.7,0,-8.4,0,1021.2,2.087,
01-Feb-06,7.3,2.2,0,-6.6,0,1016.8,3.393,
02-Feb-06,7.7,-1.1,0,-4.2,0,1016.3,3.677,
03-Feb-06,8.9,1.6,0,-3,0,1020.5,4.593,
04-Feb-06,8.4,1.7,0,-1.9,0,1025.2,5.083,
05-Feb-06,5.8,4,0,3.5,0,1027.4,5.33,
06-Feb-06,8.5,5.5,0,3.3,0,1023.5,5.417,
07-Feb-06,9.6,4,0,5.5,2.7,1012.7,6.317,
08-Feb-06,8.6,1.6,0,-2.6,0,1010.2,4.77,
09-Feb-06,5.3,-3,0,-6.7,0,1016.5,3.53,
10-Feb-06,7.3,-3.8,0,-7.1,0,1018.3,3.116,
11-Feb-06,10.1,3.1,0,-1.6,2.6,1015,4.372,
12-Feb-06,11.4,7.4,0,5.3,3.8,1012.2,6.578,
13-Feb-06,12.7,9.1,0,4.2,3,1004.8,7.606,
14-Feb-06,10.6,5.5,0,1.3,9,990.8,7.58,
15-Feb-06,9.9,4.4,0,1.9,0.5,979.8,6.806,
16-Feb-06,9.1,3.3,0,-0.5,0.6,971.4,5.215,
17-Feb-06,9.8,0.1,0,-4,0,977.5,5.147,
18-Feb-06,6.9,-3,0,-6.6,0,986.9,3.819,
19-Feb-06,7.7,-1.9,0,-6,0.3,999,3.526,
20-Feb-06,8.1,0.9,0,1.3,0.4,1014.2,4.861,
21-Feb-06,7.3,-0.2,0,-6,2.2,1022.8,3.657,
22-Feb-06,6.2,2.5,0,-1.1,1.5,1024.9,3.948,
23-Feb-06,6.8,3,0,1.3,4.5,1022.4,4.04,
24-Feb-06,7.2,2.9,0,2.7,5,1017.4,5.006,
25-Feb-06,7,3.7,0,0,0,1021.3,4.344,
26-Feb-06,7.6,3.7,0,2.5,0,1024.4,4.66,
27-Feb-06,7.9,-1.7,0,-6.1,0.4,1018.5,4.69,
28-Feb-06,5.2,-1.7,0,-4.3,0.5,1009.5,4.218,
01-Mar-06,5.5,-2.8,0,-8.2,0.1,1003.7,3.192,
02-Mar-06,3.9,-4.6,0,-8.1,0,996.9,3.365,
03-Mar-06,6.1,-6.3,0,-10.4,0.5,995.2,2.699,
04-Mar-06,7.5,-4.2,0,-9.5,0,999.6,2.775,
05-Mar-06,9,-1,0,-7,0.4,1007.4,3.471,
06-Mar-06,9.4,-0.5,0,-6.6,1,1013.5,3.873,
07-Mar-06,12.1,5.4,0,-0.1,8.5,1003.7,6.21,
08-Mar-06,13.3,6.1,0,8.4,5,990.8,8.097,
09-Mar-06,11.1,4,0,0.2,0.7,989.1,7.151,
10-Mar-06,10.2,1.3,0,-0.8,0.4,997.9,6.262,
11-Mar-06,8.5,-0.2,0,-5,11.9,1010.8,5.103,
12-Mar-06,12.3,4.6,0,3.4,0.2,1011.8,6.662,
13-Mar-06,10.5,5.5,0,5.2,2.8,1008.3,6.996,
14-Mar-06,11.5,6.7,0,1.3,0.2,1010,7.666,
15-Mar-06,7.4,4.3,0,5.1,3.5,1018.3,7.324,
16-Mar-06,4.8,1.1,0,1.9,0.9,1024.4,5.46,
17-Mar-06,4.9,2.3,0,0.7,1.8,1023.7,4.655,
18-Mar-06,6,3.7,0,2,0,1018.8,4.399,
19-Mar-06,7.6,4.8,0,2.1,0,1013,4.911,
20-Mar-06,6.3,4.1,0,2.2,1.3,1009.3,5.464,
21-Mar-06,5.2,2.8,0,1.6,0.5,1010.3,5.019,
